ID,캐릭터 이름,이벤트 함수,표정,애니메이션 이름,대사 내용
3-1-1,혼령1,AnimStory,,Ghost_Wake,
3-1-2,혼령1,DialogueStory,혼령_웃음,Ghost_Stretch,{fade a=3.5}으~~ 잘 잤다!!
3-1-3,혼령1,AnimStory,,Ghost_Surprised,
3-1-4,혼령1,DialogueStory,혼령_기본,,{fade a=3.5}어라? 애는 뭐야?!!
3-1-5,혼령2,AnimStory,,Ghost_Wake,
3-1-6,혼령2,TextEventStory,혼령_웃음,,{fade a=3.5}거참 다시 태어나기 좋은 날이군!!<?event1_6>*그렇지 않은가? 하하!
3-1-7,혼령1,TextEventStory,혼령_웃음,,{fade a=3.5}어이 김씨. 여기 좀 봐.<?event1_7>*이승의 사람이 이곳에 있어.
3-1-8,혼령2,DialogueStory,혼령_웃음,Ghost_Laughing,{fade a=3.5}하하! 뱃사공 양반. 구천에 오래 갇혀있어서 둔해졌는가?*여기 이승의 사람이 어디있다ㄱ...
3-1-9,혼령2,Event1-9,,,!!!!!!
3-1-10,혼령1,Event1-10,혼령_웃음,Ghost_Laughing,{fade a=3.5}너무 오래 갇혀있어서 둔해진 건 그대인 것 같은데?*내가 어디 틀린 말 했는가? 이용님한테 목 잘리기 전까지*열심히 눈치 살피던 그때의 감 아직 안 죽었단 말이다. <?event1_10> 하하! 
3-2-1,혼령1,AnimStory,,Ghost_LookAround,
3-2-2,혼령1,DialogueStory,혼령_기본,Ghost_Whisper,{fade a=3.5}그... 이승의 인간이 여기에 온 건...*그때 이후로 두 번째인가...?
3-2-3,혼령2,DialogueStory,혼령_기본,Ghost_Whisper,{fade a=3.5}누구... 말하는 건가?
3-2-4,혼령1,DialogueStory,혼령_기본,Ghost_Anger,{fade a=3.5}그 왜 있지 않나!! 한... 400년 전이었던 것 같은데...*운신으로부터 큰 노여움을 받은...
3-2-5,,Event2-5,,,
3-2-6,혼령2,DialogueStory,혼령_기본,,{fade a=3.5}이크!!! 얼...얼른 들어가세!!
3-2-7,혼령1,Event2-7,,,
